"x","y"
1155438.36769718,692615.571826483
1155106.50324599,692387.778913329
1147121.07599823,688742.226213625
1150038.69490118,671250.452321823
1156971.71009517,657856.914653045
1159776.46166244,655678.331394366
1161940.87126404,651244.782773909
1162712.03943459,651017.351367017
NA,NA
1386261.36999661,-942793.893558389
1381074.47318516,-936248.807800247
1375685.12307859,-933265.706314106
1373710.72998403,-931560.595156423
1375849.6219102,-924434.446714874
1378315.51077118,-922696.592367135
1377635.19601018,-921382.701746341
1374094.4683463,-920359.943611602
1370637.65374628,-918201.477198387
1366603.48690836,-912772.434918519
1362163.75917933,-908403.636513604
1352708.73493076,-904477.415566512
1346927.4332635,-904587.160012447
1341532.194056,-899021.387420057
1337861.10192464,-901186.435027825
1337086.79953084,-907741.187112374
1332998.17563211,-913049.958261446
1324285.27108223,-917853.440258852
1311633.14925977,-937594.829043675
1302070.26905122,-944959.53861739
1291955.07043298,-951293.215347682
1283430.48833961,-954120.312478711
1274382.37995275,-953852.197231902
1269745.80445262,-953143.575382252
1263608.33966634,-948285.854275099
1261753.35754023,-947794.62181618
1260589.6013225,-952740.288513832
1259953.07850905,-964055.819966499
1262279.19459392,-977253.921660326
1266293.96171977,-981932.656921672
1272448.20877377,-986545.449859616
1278113.9678525,-992431.007611028
1281609.12358552,-998545.503358022
1284831.86420231,-1008356.95972716
1290914.19754446,-1014366.58717972
1293023.41417676,-1032397.47838645
1292383.05410602,-1038470.20337165
1288934.15760697,-1043386.79477822
1288926.40509275,-1047636.25436725
NA,NA
1400262.31197617,-1033655.80979626
1400335.54533585,-1031714.3570907
1398715.71012577,-1023456.26257367
1394183.51473479,-1016416.86890782
1391155.7020043,-1004445.80187145
1398666.29139562,-988488.790986505
1400481.56020666,-983570.65711961
1401515.52174157,-976846.812865298
1399729.95731605,-970665.883909245
1386261.36999661,-942793.893558389
NA,NA
1280289.52202208,-809510.570407036
1285524.46348661,-811403.595526735
1286393.18222925,-817225.123808889
1282986.92483685,-823028.822934625
1280318.71133329,-827479.137156565
1281274.30827572,-830569.739778038
1285689.9702228,-830958.361319059
1291199.35197103,-829947.835734643
1293488.81413351,-835843.710350108
1291092.67328268,-843651.51966338
1291633.09356307,-848394.82279429
1296392.09590316,-850541.550331587
1306560.84320217,-853364.79976559
1306366.3436733,-857022.268279981
1302838.88474733,-862092.089341376
1301534.75212016,-866700.702339361
1304839.02310356,-869615.210565467
1309868.51785351,-873805.085607423
1319467.69343457,-877052.760312072
1336123.92812531,-885260.724088867
1340661.88830295,-876159.445177644
1344673.39132029,-856710.427960407
1347524.61503648,-850479.686506322
1348461.74603703,-844420.209033363
1346048.41246139,-822655.437262355
1347641.91764722,-817207.989456609
1355396.43059052,-798326.148411224
1355397.29327358,-794789.824760231
1346905.49670191,-751564.994048271
1345019.38578661,-748089.776858266
1341591.81576821,-745164.076052766
1339371.01024517,-740594.858157059
1339268.97253825,-723971.688384923
1338279.4780535,-717866.896622415
1335525.36852393,-708647.498824546
1335174.78462107,-704640.295345646
1330632.55401284,-700680.685590046
1326448.72593342,-701720.342079459
1324937.20919458,-710261.932884657
1326256.64616341,-724775.920275521
1328226.28236373,-729850.000751675
1326988.9911121,-736101.278753286
1325162.14790568,-738450.09984333
1322090.97285723,-736847.124361048
1317292.19327747,-735597.142313818
1312305.47344756,-735845.142403784
1308659.74040592,-739491.839250251
1305628.91207997,-744794.427636931
1301869.07439114,-747141.10418298
1287624.52561379,-753229.480004514
1280094.05750023,-760771.645113464
1275826.73577704,-775236.06534867
1272076.79205772,-780371.349402654
1270659.10809939,-783666.133615423
1273047.92710937,-784832.759329268
1275829.66533958,-784630.726880753
1280760.18224169,-790715.193304067
1275538.26751962,-794265.99494692
1272646.37843675,-799108.169672793
1275239.59444507,-805329.928531546
1280289.52202208,-809510.570407036
NA,NA
281199.534559836,856320.083379051
288450.944322551,858240.61911591
302954.429929019,864762.771255346
316509.580361287,869582.209250129
322963.701652544,869665.801908991
335446.185437169,865363.3707822
338301.147337357,865188.23497987
343657.204674181,866996.489968558
349049.879343812,867261.831198333
385539.648548558,865693.437773936
395684.446427716,868066.908856382
402394.037183178,865200.308186294
408022.820192192,858048.113050396
413410.626995736,844858.152128063
413253.802269731,842661.522925646
410026.595150116,836634.862744837
404042.131909056,829079.804871773
398873.611945759,818690.395701599
397349.884860842,813086.945450734
396326.613791952,806956.356257909
394673.732841354,801288.874355748
384230.609254285,774687.186421988
373992.490153081,759976.035491996
369368.685836712,749527.917837965
363671.773360347,741224.593753194
358193.86191103,736024.802553471
352355.239536819,732586.246234934
335533.337844481,729069.595629953
330794.325852625,726464.50807835
325108.396604019,721956.808646489
319167.983067417,719788.026621291
326089.766825145,719949.97186177
332986.300811586,722395.780208753
345460.576167733,723157.296725519
359723.311447226,714176.219279827
358320.703833492,706971.76680477
352475.698962511,701325.933233666
339297.422771827,700596.137499698
326767.213388609,688105.266638883
321122.348588882,684302.29699805
315198.683857215,682474.425043785
307847.28880866,683201.973747048
294553.351162744,686905.647011045
288796.596098346,690601.440820229
293935.572635383,684675.357620995
299866.154382979,681510.228182029
334609.723514807,673710.289033744
336721.328818665,674417.985235697
347939.587125992,681800.964497819
362745.927435306,681761.144608862
390902.748264813,667772.389192358
399042.532884857,657187.231402805
410773.676897136,642038.229248925
417181.70142944,636140.58418762
421830.482365761,630797.509837182
424726.786861402,622770.04477672
430442.729696987,596254.116702133
437006.51929415,570361.44851684
445659.206186838,542336.411266467
449560.917804911,534568.884758362
454654.843353443,529149.95294953
480364.904215207,516945.749543524
486132.729755924,512877.25301758
496311.914788553,500971.54571837
506202.367014318,488286.800091837
515402.034565566,478593.929331837
525306.889784087,470828.847170319
520714.938207753,466537.519301612
517658.246393334,459903.622119813
520300.324155831,451057.016726817
524497.948431748,442655.112224519
532694.714968574,429258.373823106
540046.469407784,414604.155442576
537426.049360718,416772.06080628
534704.646853684,417927.350249237
531045.059284761,417454.386972905
527436.145337224,418072.779431749
520700.336594069,422547.769257099
514209.359632783,428097.724922019
501637.764975888,425515.126789703
